1300	100
1306	100
1312	100
1318	100
1324	100
1330	100
1336	100
1342	100
1348	100
1354	100
1400	100
1406	100
1412	100
1418	100
1424	100
1430	100
1436	100
1442	100
1448	100
1454	100
1500	100
1506	100
1512	100
1518	100
1524	99
1530	98
1536	97
1542	97
1548	96
1554	95
1600	94
1606	93
1612	92
1618	91
1624	90
1630	90
1636	89
1642	88
1648	87
1654	86
1700	85
1706	84
1712	83
1718	83
1724	82
1730	81
1736	80
1742	79
1748	78
1754	77
1800	77
1806	76
1812	75
1818	74
1824	73
1830	72
1836	71
1842	70
1848	70
1854	69
1900	68
1906	67
1912	66
1918	65
1924	64
1930	63
1936	63
1942	62
1948	61
1954	60
2000	59
2006	58
2012	57
2018	57
2024	56
2030	55
2036	54
2042	53
2048	52
2054	51
2100	50
2106	50
2112	49
2118	48
2124	47
2130	46
2136	45
2142	44
2148	43
2154	43
2200	42
2206	41
2212	40
2218	39
2224	38
2230	37
2236	37
2242	36
2248	35
2254	34
2300	33
2306	32
2312	31
2318	30
2324	30
2330	29
2336	28
2342	27
2348	26
2354	25
2400	24
2406	23
2412	23
2418	22
2424	21
2430	20
2436	19
2442	18
2448	17
2454	17
2500	16
2506	15
2512	14
2518	13
2524	12
2530	11
2536	10
2542	10
2548	9
2554	8
2600	7
2606	6
2612	5
2618	4
2624	3
2630	3
