1300	100
1306	100
1312	100
1318	100
1324	100
1330	100
1336	100
1342	100
1348	100
1354	100
1400	100
1406	100
1412	100
1418	100
1424	100
1430	100
1436	100
1442	100
1448	100
1454	100
1500	100
1506	100
1512	100
1518	100
1524	100
1530	100
1536	100
1542	100
1548	100
1554	99
1600	98
1606	97
1612	97
1618	96
1624	95
1630	94
1636	93
1642	92
1648	91
1654	91
1700	90
1706	89
1712	88
1718	87
1724	86
1730	86
1736	85
1742	84
1748	83
1754	82
1800	81
1806	80
1812	80
1818	79
1824	78
1830	77
1836	76
1842	75
1848	74
1854	74
1900	73
1906	72
1912	71
1918	70
1924	69
1930	69
1936	68
1942	67
1948	66
1954	65
2000	64
2006	63
2012	63
2018	62
2024	61
2030	60
2036	59
2042	58
2048	57
2054	57
2100	56
2106	55
2112	54
2118	53
2124	52
2130	51
2136	51
2142	50
2148	49
2154	48
2200	47
2206	46
2212	46
2218	45
2224	44
2230	43
2236	42
2242	41
2248	40
2254	40
2300	39
2306	38
2312	37
2318	36
2324	35
2330	34
2336	34
2342	33
2348	32
2354	31
2400	30
2406	29
2412	29
2418	28
2424	27
2430	26
2436	25
2442	24
2448	23
2454	23
2500	22
2506	21
2512	20
2518	19
2524	18
2530	17
2536	17
2542	16
2548	15
2554	14
2600	13
2606	12
2612	11
2618	11
2624	10
2630	9
