1300	100
1306	100
1312	100
1318	100
1324	100
1330	100
1336	100
1342	100
1348	100
1354	100
1400	100
1406	100
1412	100
1418	100
1424	100
1430	100
1436	100
1442	100
1448	100
1454	100
1500	100
1506	100
1512	100
1518	100
1524	100
1530	100
1536	100
1542	100
1548	99
1554	98
1600	97
1606	96
1612	95
1618	94
1624	93
1630	93
1636	92
1642	91
1648	90
1654	89
1700	88
1706	87
1712	86
1718	85
1724	84
1730	83
1736	82
1742	81
1748	80
1754	80
1800	79
1806	78
1812	77
1818	76
1824	75
1830	74
1836	73
1842	72
1848	71
1854	70
1900	69
1906	68
1912	67
1918	67
1924	66
1930	65
1936	64
1942	63
1948	62
1954	61
2000	60
2006	59
2012	58
2018	57
2024	56
2030	55
2036	54
2042	53
2048	53
2054	52
2100	51
2106	50
2112	49
2118	48
2124	47
2130	46
2136	45
2142	44
2148	43
2154	42
2200	41
2206	40
2212	40
2218	39
2224	38
2230	37
2236	36
2242	35
2248	34
2254	33
2300	32
2306	31
2312	30
2318	29
2324	28
2330	27
2336	27
2342	26
2348	25
2354	24
2400	23
2406	22
2412	21
2418	20
2424	19
2430	18
2436	17
2442	16
2448	15
2454	14
2500	13
2506	13
2512	12
2518	11
2524	10
2530	9
2536	8
2542	7
2548	6
2554	5
2600	4
2606	3
2612	2
2618	1
2624	0
2630	0
